Bottle,Capacity,Orientation,H_Center,V_Center,Defects,Timestamp
1,Not detected,PASS,FAIL,PASS,None,08:55:41
1,500,PASS,FAIL,PASS,None,08:55:42
2,500,PASS,PASS,PASS,None,08:55:51
3,Not detected,PASS,FAIL,PASS,None,08:56:03
3,500,PASS,FAIL,PASS,None,08:56:03
4,Not detected,PASS,FAIL,PASS,None,08:56:21
4,500,PASS,FAIL,PASS,None,08:56:21
5,Not detected,PASS,FAIL,PASS,None,08:56:33
5,500,PASS,FAIL,PASS,None,08:56:33
6,500,PASS,PASS,PASS,None,08:56:41
7,500,PASS,PASS,PASS,None,08:57:09
8,500,PASS,FAIL,PASS,None,08:57:16
9,Not detected,PASS,FAIL,PASS,None,08:57:17
10,Not detected,PASS,PASS,PASS,None,08:57:22
10,500,PASS,PASS,PASS,None,08:57:22
11,500,PASS,PASS,PASS,None,08:57:29
12,500,PASS,FAIL,PASS,None,08:57:54
13,500,PASS,FAIL,PASS,bump,08:58:00
14,500,PASS,N/A,N/A,None,08:58:05
15,Not detected,PASS,FAIL,PASS,None,08:58:30
15,500,PASS,FAIL,PASS,None,08:58:31
16,500,PASS,PASS,PASS,None,08:58:37
17,500,PASS,N/A,N/A,None,08:58:45
18,Not detected,PASS,FAIL,PASS,None,08:58:52
18,500,PASS,FAIL,PASS,None,08:58:52
19,Not detected,PASS,PASS,PASS,None,08:59:15
19,500,PASS,PASS,PASS,None,08:59:15
20,Not detected,PASS,FAIL,PASS,None,08:59:16
21,Not detected,PASS,FAIL,PASS,None,08:59:21
21,500,PASS,FAIL,PASS,None,08:59:22
22,500,PASS,N/A,N/A,None,08:59:30
23,500,PASS,N/A,N/A,None,09:00:00
24,Not detected,PASS,FAIL,PASS,None,09:00:14
24,500,PASS,FAIL,PASS,None,09:00:14
25,Not detected,PASS,FAIL,PASS,None,09:00:23
25,500,PASS,FAIL,PASS,None,09:00:23
26,Not detected,PASS,N/A,N/A,None,09:00:29
27,500,PASS,PASS,PASS,None,09:00:29
28,500,PASS,FAIL,PASS,None,09:00:51
29,Not detected,PASS,N/A,N/A,None,09:00:59
