Bottle,Capacity,Orientation,H_Center,V_Center,Defects,Timestamp
1,Not detected,PASS,FAIL,PASS,None,11:39:23
2,500,PASS,PASS,PASS,None,11:39:32
3,Not detected,PASS,FAIL,PASS,None,11:39:44
4,Not detected,PASS,FAIL,PASS,None,11:40:02
5,Not detected,PASS,FAIL,PASS,None,11:40:14
6,500,PASS,PASS,PASS,None,11:40:22
7,500,PASS,PASS,PASS,None,11:40:51
8,500,PASS,FAIL,PASS,None,11:40:57
9,Not detected,PASS,FAIL,PASS,None,11:40:59
10,Not detected,PASS,PASS,PASS,None,11:41:03
11,500,PASS,PASS,PASS,None,11:41:10
12,500,PASS,FAIL,PASS,None,11:41:35
13,500,PASS,FAIL,PASS,bump,11:41:41
14,500,PASS,N/A,N/A,None,11:41:46
15,Not detected,PASS,FAIL,PASS,None,11:42:12
16,500,PASS,PASS,PASS,None,11:42:18
17,500,PASS,N/A,N/A,None,11:42:26
18,Not detected,PASS,FAIL,PASS,None,11:42:33
19,Not detected,PASS,PASS,PASS,None,11:42:56
20,Not detected,PASS,FAIL,PASS,None,11:42:57
21,Not detected,PASS,FAIL,PASS,None,11:43:03
22,500,PASS,N/A,N/A,None,11:43:11
23,500,PASS,N/A,N/A,None,11:43:41
24,Not detected,PASS,FAIL,PASS,None,11:43:55
25,Not detected,PASS,FAIL,PASS,None,11:44:04
26,Not detected,PASS,N/A,N/A,None,11:44:10
27,500,PASS,PASS,PASS,None,11:44:10
28,500,PASS,FAIL,PASS,None,11:44:33
