Bottle,Capacity,Orientation,H_Center,V_Center,Defects,Timestamp
1,Not detected,PASS,FAIL,PASS,None,12:02:10
1,500,PASS,FAIL,PASS,None,12:02:10
2,500,PASS,PASS,PASS,None,12:02:19
3,Not detected,PASS,FAIL,PASS,None,12:02:32
3,500,PASS,FAIL,PASS,None,12:02:32
4,Not detected,PASS,FAIL,PASS,None,12:02:50
4,500,PASS,FAIL,PASS,None,12:02:50
5,Not detected,PASS,FAIL,PASS,None,12:03:01
5,500,PASS,FAIL,PASS,None,12:03:02
6,500,PASS,PASS,PASS,None,12:03:10
7,500,PASS,PASS,PASS,None,12:03:38
8,500,PASS,FAIL,PASS,None,12:03:45
9,Not detected,PASS,FAIL,PASS,None,12:03:46
10,Not detected,PASS,PASS,PASS,None,12:03:51
10,500,PASS,PASS,PASS,None,12:03:51
11,500,PASS,PASS,PASS,None,12:03:58
12,500,PASS,FAIL,PASS,None,12:04:23
13,500,PASS,FAIL,PASS,bump,12:04:28
14,500,PASS,N/A,N/A,None,12:04:34
15,Not detected,PASS,FAIL,PASS,None,12:04:59
15,500,PASS,FAIL,PASS,None,12:04:59
16,500,PASS,PASS,PASS,None,12:05:05
17,500,PASS,N/A,N/A,None,12:05:14
18,Not detected,PASS,FAIL,PASS,None,12:05:20
18,500,PASS,FAIL,PASS,None,12:05:21
19,Not detected,PASS,PASS,PASS,None,12:05:43
19,500,PASS,PASS,PASS,None,12:05:44
20,Not detected,PASS,FAIL,PASS,None,12:05:45
21,Not detected,PASS,FAIL,PASS,None,12:05:50
21,500,PASS,FAIL,PASS,None,12:05:51
22,500,PASS,N/A,N/A,None,12:05:58
23,500,PASS,N/A,N/A,None,12:06:29
24,Not detected,PASS,FAIL,PASS,None,12:06:42
24,500,PASS,FAIL,PASS,None,12:06:43
25,Not detected,PASS,FAIL,PASS,None,12:06:51
25,500,PASS,FAIL,PASS,None,12:06:51
26,Not detected,PASS,N/A,N/A,None,12:06:57
27,500,PASS,PASS,PASS,None,12:06:58
28,500,PASS,FAIL,PASS,None,12:07:20
