Bottle,Capacity,Orientation,H_Center,V_Center,Defects,Timestamp
1,Not detected,PASS,FAIL,PASS,None,16:11:08
1,500,PASS,PASS,PASS,None,16:11:08
2,Not detected,PASS,PASS,PASS,None,16:11:10
3,Not detected,PASS,Pending,Pending,None,16:11:17
3,500,PASS,PASS,PASS,None,16:11:17
4,Not detected,PASS,PASS,PASS,None,16:11:19
5,Not detected,,Pending,Pending,None,16:11:30
5,500,PASS,PASS,PASS,None,16:11:30
6,Not detected,PASS,PASS,PASS,None,16:11:31
7,Not detected,PASS,FAIL,PASS,None,16:11:48
7,500,PASS,PASS,PASS,None,16:11:48
8,Not detected,PASS,PASS,PASS,None,16:11:49
9,Not detected,,FAIL,PASS,None,16:11:59
9,500,PASS,PASS,PASS,None,16:12:00
10,Not detected,PASS,PASS,PASS,None,16:12:01
11,Not detected,,Pending,Pending,None,16:12:08
11,500,PASS,PASS,PASS,None,16:12:08
12,Not detected,PASS,PASS,PASS,None,16:12:10
13,Not detected,,Pending,Pending,None,16:12:36
13,500,PASS,PASS,PASS,None,16:12:36
14,Not detected,PASS,PASS,PASS,None,16:12:38
15,500,PASS,FAIL,PASS,None,16:12:43
16,Not detected,PASS,PASS,PASS,None,16:12:44
17,Not detected,PASS,PASS,PASS,None,16:12:49
17,500,PASS,PASS,PASS,None,16:12:49
18,Not detected,PASS,PASS,PASS,None,16:12:50
19,500,PASS,PASS,PASS,None,16:12:56
20,Not detected,PASS,PASS,PASS,None,16:12:57
21,500,PASS,FAIL,PASS,None,16:13:21
22,100,PASS,PASS,PASS,None,16:13:22
23,500,PASS,FAIL,PASS,None,16:13:27
24,Not detected,PASS,PASS,PASS,None,16:13:28
25,500,PASS,FAIL,PASS,None,16:13:32
26,Not detected,PASS,PASS,PASS,None,16:13:34
27,Not detected,PASS,FAIL,PASS,None,16:13:57
27,500,PASS,PASS,PASS,None,16:13:58
28,Not detected,PASS,PASS,PASS,None,16:13:59
29,500,PASS,PASS,PASS,None,16:14:03
30,Not detected,PASS,PASS,PASS,None,16:14:05
31,500,PASS,PASS,PASS,None,16:14:12
32,Not detected,PASS,PASS,PASS,None,16:14:13
33,Not detected,PASS,FAIL,PASS,None,16:14:18
33,500,PASS,PASS,PASS,None,16:14:19
34,Not detected,PASS,PASS,PASS,None,16:14:20
35,Not detected,PASS,PASS,PASS,None,16:14:42
35,500,PASS,PASS,PASS,None,16:14:42
36,Not detected,PASS,PASS,PASS,None,16:14:43
37,Not detected,PASS,FAIL,PASS,None,16:14:48
37,500,PASS,PASS,PASS,None,16:14:49
38,500,PASS,PASS,PASS,None,16:14:50
39,Not detected,PASS,Pending,Pending,None,16:14:56
39,500,PASS,PASS,PASS,None,16:14:56
40,Not detected,PASS,PASS,PASS,None,16:14:58
41,500,PASS,FAIL,PASS,None,16:15:27
42,Not detected,PASS,PASS,PASS,None,16:15:28
43,Not detected,PASS,FAIL,PASS,None,16:15:41
43,500,PASS,PASS,PASS,None,16:15:41
44,Not detected,PASS,PASS,PASS,None,16:15:42
45,Not detected,PASS,FAIL,PASS,None,16:15:49
45,500,PASS,PASS,PASS,None,16:15:50
46,Not detected,PASS,PASS,PASS,None,16:15:51
47,Not detected,,Pending,Pending,None,16:15:55
47,500,PASS,PASS,PASS,None,16:15:56
48,Not detected,PASS,PASS,PASS,None,16:15:57
