Bottle,Capacity,Orientation,H_Center,V_Center,Defects,Timestamp
1,Not detected,2.159 deg (PASS),,,None,09:44:13
2,Not detected,,,,None,09:44:13
3,Not detected,3.014 deg (PASS),,,None,09:44:15
4,Not detected,3.222 deg (PASS),,,None,09:44:16
5,Not detected,2.240 deg (PASS),,,None,09:44:18
6,Not detected,3.320 deg (PASS),,,None,09:44:18
7,Not detected,,,,None,09:44:19
8,Not detected,3.393 deg (PASS),,,None,09:44:20
9,Not detected,3.524 deg (PASS),,,None,09:44:21
10,Not detected,,,,None,09:44:22
11,Not detected,3.525 deg (PASS),,,None,09:44:24
12,Not detected,,,,None,09:44:25
13,Not detected,3.610 deg (PASS),,,None,09:44:27
